---,Cost,KillBonus,BaseDamage,ArmourDamage,ArmourPenetration,HelmetDamage,HelmetBleed,Weight,FalloffModifier,MinFalloffDist,MaxFalloffDist
1911,200,600,28,25,10,100,50,0,0.8,1250,2000
57,550,300,25,25,50,100,75,0,0.85,2500,3000
sock,650,300,20,30,10,50,50,0,0.85,1250,2000
m9,400,600,25,35,10,100,50,0,0.85,1500,2000
de,800,300,40,35,100,100,100,0,0.85,2500,3500
revolver,600,300,50,35,100,100,100,0,0.68,1000,3500
cet9,650,300,20,25,100,100,75,0,0.8,2250,3000
smg,1200,600,25,25,10,100,50,0,0.8,2250,3000
uzi,950,600,20,20,10,50,25,0,0.85,1250,2000
ak,1200,600,20,35,60,100,50,0,0.85,2000,3000
mp5,2300,300,25,32,35,50,50,0,0.85,1500,2500
p90,1500,600,20,35,10,50,75,0,0.8,1500,2500
vanas,2000,300,20,45,60,50,75,0,0.85,1000,3500
kross,1500,600,20,25,20,25,25,0,0.8,1500,2500
ar9,1200,600,25,25,10,100,50,0,0.8,2000,3000
shotgun,1500,600,20,22,35,50,0,0,0.50,550,1500
sawedoff,1000,600,40,25,20,50,10,0,0.33,250,500
drumshotgun,4200,300,17,20,10,50,10,0,0.67,750,1500
autoshotgun,1800,600,16,25,10,50,10,0,0.67,750,1500
ak47,2600,300,25,60,100,100,100,0,1,500,4000
ak12,2400,300,25,45,100,100,74,0,1,500,4000
ar,2900,300,20,45,100,100,75,0,1,500,4000
aug,2300,300,20,45,100,100,75,0,1,500,4000
galul,2200,300,20,45,100,100,75,0,1,500,4000
m16,2500,300,20,45,100,100,75,0,1,500,4000
sks,2000,300,40,60,100,100,100,0,1,500,4000
akshorty,2400,300,25,45,50,100,100,0,0.75,1000,2000
vzz,1800,300,22,50,10,50,50,0,0.85,1500,3500
lmga,3600,300,20,60,100,100,75,0,1,500,4000
awp,1000,600,100,50,65,100,100,0,1,500,4000
autosniper,4000,300,35,60,100,100,100,0,1,500,4000
antitank,4800,0,200,100,100,100,100,0,1,500,4000
scur,3300,300,35,60,100,100,100,0,1,500,4000
luger,600,400,25,30,10,50,75,0,1,500,4000
tokarev,200,600,28,25,10,100,50,0,0.8,1250,2000
webley,800,600,45,35,100,100,100,0,1,500,4000
sten,1400,400,20,30,10,25,25,0,1,500,4000
mp40,1700,400,20,30,10,25,25,0,1,500,4000
thompson,1600,400,20,30,10,25,25,0,1,500,4000
stg44,2700,300,20,40,100,100,75,0,1,500,4000
ppsh,1750,100,17,20,10,25,25,0,0.8,1500,2500
m1garand,2400,400,35,60,100,100,100,0,1,500,4000
g43,3500,100,35,60,100,100,100,0,1,500,4000
svt40,3500,400,35,60,100,100,100,0,1,500,4000
mosin,1600,800,80,60,100,100,100,0,1,500,4000
springfield,1600,800,80,60,100,100,100,0,1,500,4000
kar98,1600,800,80,60,100,100,100,0,1,500,4000
leeenfield,1600,800,80,60,100,100,100,0,1,500,4000
bar,3000,100,20,60,100,100,75,0,1,500,4000
bren,3000,100,20,60,100,100,75,0,1,500,4000
dp27,3200,100,20,60,100,100,75,0,1,500,4000
mg42,3500,100,20,60,100,100,75,0,1,500,4000
rl_m1a1,4300,150,150,150,150,150,150,0,1,500,4000
rl_piat,4000,150,150,150,150,150,150,0,1,500,4000
rl_panzer,4500,150,150,150,150,150,150,0,1,500,4000
rl_rpg,4200,150,150,150,150,150,150,0,1,500,4000
smoke,200,0,0,0,0,0,0,0,1,500,4000
smoke_ru,200,0,0,0,0,0,0,0,1,500,4000
